filename,artist,title,style,genre,date
17585.jpg,0641cf433776d46e89adfe142bd22379,St. Jerome Penitent,Early Renaissance,religious painting,1455
10088.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Two holy women in prayer,Early Renaissance,sketch and study,1455
16029.jpg,7a5b41c727b25762d24cee788163a1d7,Saint Ursula with Angels and Donor (detail),Early Renaissance,religious painting,1455
13367.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Adoration of the Shepherds,Early Renaissance,religious painting,1456
10857.jpg,3354b8820b6c7eaa725cececfeb85a6e,The Martyrdom of St. Stephen,Early Renaissance,religious painting,1460
15694.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Christ Blessing,Early Renaissance,religious painting,1460
11392.jpg,7a5b41c727b25762d24cee788163a1d7,Procession of the Magi,Early Renaissance,religious painting,1461
19544.jpg,7a5b41c727b25762d24cee788163a1d7,Procession of the Magus Caspar (detail),Early Renaissance,religious painting,1461
1374.jpg,2cf708ebd3f8e408e1e54ef194614d03,Polyptych of the Misericordia,Early Renaissance,religious painting,1462
102056.jpg,7a5b41c727b25762d24cee788163a1d7,The Dance of Salome,Early Renaissance,religious painting,1462
100503.jpg,96caa81edd3fa3c230cf2efef02a144f,Portrait of a Man,Northern Renaissance,portrait,1462
100960.jpg,eadb8b92da6754d70917ad9b9af6a95d,The Annunciation dove,Northern Renaissance,religious painting,1465
14622.jpg,7a5b41c727b25762d24cee788163a1d7,St. Augustine Reading Rhetoric and Philosophy at the School of Rome (detail),Early Renaissance,religious painting,1465
14858.jpg,7a5b41c727b25762d24cee788163a1d7,The Parable of the Holy Trinity and the Visit to the Monks of Mount Pisano,Early Renaissance,religious painting,1465
11667.jpg,7a5b41c727b25762d24cee788163a1d7,Martyrdom of St. Sebastian,Early Renaissance,religious painting,1465
16457.jpg,3354b8820b6c7eaa725cececfeb85a6e,Madonna with the Child and two Angels,Early Renaissance,sketch and study,1465
15640.jpg,7a5b41c727b25762d24cee788163a1d7,St. Augustine's Vision of St. Jerome,Early Renaissance,religious painting,1465
19871.jpg,7a5b41c727b25762d24cee788163a1d7,Arrival of St. Augustine in Milan,Early Renaissance,religious painting,1465
13064.jpg,7a5b41c727b25762d24cee788163a1d7,St. Augustine Reading Rhetoric and Philosophy at the School of Rome,Early Renaissance,religious painting,1465
103117.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Presentation of Christ in the temple,Early Renaissance,religious painting,1466
11838.jpg,2cf708ebd3f8e408e1e54ef194614d03,Finding and Recognition of the True Cross,Early Renaissance,religious painting,1466
102727.jpg,072592d6fa48c2ef2d5d248c0478e890,Virgin and Child Enthroned with two Musical Angels,Northern Renaissance,religious painting,1467
100284.jpg,78b13bdd9a3201382c52e7efe67b7099,Madonna and Child,Early Renaissance,religious painting,1467
19559.jpg,d8ed2d6f032da7c79eb05c5502005520,Annunciation angel Gabriel,Early Renaissance,religious painting,1468
19305.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Polyptych of San Vincenzo Ferreri,Early Renaissance,religious painting,1468
101791.jpg,a1129d0ff671abcf3362417839191ec4,Calvary Triptych (left panel),Northern Renaissance,religious painting,1468
12448.jpg,eb7aab875efeae0d20311261fc826ef0,Procession of re-ordained in a church,Early Renaissance,religious painting,1469
14131.jpg,eb7aab875efeae0d20311261fc826ef0,Two angels and two devils,Early Renaissance,religious painting,1469
11204.jpg,3354b8820b6c7eaa725cececfeb85a6e,Annunciation,Early Renaissance,religious painting,1469
16161.jpg,c825d3adbd3acc20ef010f8d0f0a04b9,Portrait of a Young Girl,Northern Renaissance,portrait,1470
13800.jpg,0641cf433776d46e89adfe142bd22379,Ecce Homo,Early Renaissance,religious painting,1470
15560.jpg,0641cf433776d46e89adfe142bd22379,Madonna and Child (Madonna Benson) ,Early Renaissance,religious painting,1470
16729.jpg,072592d6fa48c2ef2d5d248c0478e890,"Diptych of John the Baptist and St. Veronica, St. John the Baptist, the left wing",Northern Renaissance,religious painting,1470
100052.jpg,072592d6fa48c2ef2d5d248c0478e890,"The Last Judgment, triptych, right wing Casting the Damned into Hell",Northern Renaissance,religious painting,1470
101357.jpg,eadb8b92da6754d70917ad9b9af6a95d,Louis XI chairs the chapter of Saint Michel,Northern Renaissance,history painting,1470
15259.jpg,78b13bdd9a3201382c52e7efe67b7099,Madonna of the Rosegarden,Early Renaissance,religious painting,1470
15932.jpg,072592d6fa48c2ef2d5d248c0478e890,Scenes from the Passion of Christ (left side),Northern Renaissance,religious painting,1471
12073.jpg,072592d6fa48c2ef2d5d248c0478e890,Portrait of an old woman,Northern Renaissance,portrait,1472
19758.jpg,2cf708ebd3f8e408e1e54ef194614d03,Madonna and Child with Saints ,Early Renaissance,religious painting,1472
12989.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,The Miracles of San Bernardino. The Healing of the blind and deaf Riccardo Micuzio,Early Renaissance,religious painting,1473
18699.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Madonna with Child,Early Renaissance,religious painting,1473
18655.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,The Visitation with St. Anne and St. John the Stigmata of St.Francis,Early Renaissance,religious painting,1473
10658.jpg,d8ed2d6f032da7c79eb05c5502005520,Saint Paul,Early Renaissance,religious painting,1473
11270.jpg,deedbecf554a7c809e5e89c6c5b68125,Christ at the Tomb Supported by Two Angels,Gothic,religious painting,1474
16157.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,St. Sebastian,Early Renaissance,religious painting,1475
1218.jpg,a1129d0ff671abcf3362417839191ec4,Joseph and Asenath,Northern Renaissance,religious painting,1475
103084.jpg,0641cf433776d46e89adfe142bd22379,Pieta,Early Renaissance,religious painting,1475
15377.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Madonna Enthroned Cherishing the Sleeping Child,Early Renaissance,religious painting,1475
19987.jpg,0641cf433776d46e89adfe142bd22379,St. Jerome in His Study,Early Renaissance,religious painting,1475
18291.jpg,78b13bdd9a3201382c52e7efe67b7099,"Woman with attributes of Saint Catherine, so called Catherina Sforza Sandro Botticelli",Early Renaissance,portrait,1475
101765.jpg,deedbecf554a7c809e5e89c6c5b68125,St Dominic Enthroned in Glory,Gothic,religious painting,1477
101672.jpg,deedbecf554a7c809e5e89c6c5b68125,The Flagellation of St Engracia,Gothic,religious painting,1477
10291.jpg,78b13bdd9a3201382c52e7efe67b7099,Primavera,Early Renaissance,allegorical painting,1478
101651.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Resurrection of Christ,Early Renaissance,religious painting,1479
19268.jpg,1b75de7e18ba6fa547a7aed27b4fb355,"Study of the Hanged Bernardo di Bandino Baroncelli, assassin of Giuliano de Medici",Early Renaissance,sketch and study,1479
1089.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Engraving on copper of the Annunciation,Northern Renaissance,religious painting,1480
11048.jpg,d8ed2d6f032da7c79eb05c5502005520,Saint,Early Renaissance,religious painting,1480
17061.jpg,d8ed2d6f032da7c79eb05c5502005520,Saint Nicolas,Early Renaissance,religious painting,1480
18574.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Adoration of the Shepherds,Northern Renaissance,religious painting,1480
15915.jpg,26f9b721302a00962439d50cc9b5faaf,Saviour blesses the four apostles,High Renaissance,religious painting,1480
10118.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Portrait of a Humanist,Early Renaissance,portrait,1480
15994.jpg,78b13bdd9a3201382c52e7efe67b7099,Illustration to the Divine Comedy (Inferno),Early Renaissance,illustration,1480
16675.jpg,78b13bdd9a3201382c52e7efe67b7099,The Coronation of the Virgin (Altarpiece of St. Mark),Early Renaissance,religious painting,1480
10610.jpg,9357ef569a10c52a2ca5d95823cb2f8e,Roman soldiers and Jewish judges (left wing from the Triptych of the Crucifixion),Northern Renaissance,religious painting,1481
19766.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Christ Handing the Keys to St. Peter (detail 2),Early Renaissance,religious painting,1481
11053.jpg,78b13bdd9a3201382c52e7efe67b7099,Annunciation,Early Renaissance,religious painting,1481
15975.jpg,78b13bdd9a3201382c52e7efe67b7099,Pallas and Centaur,Early Renaissance,mythological painting,1482
101237.jpg,072592d6fa48c2ef2d5d248c0478e890,Portraits of Willem Moreel and His Wife,Northern Renaissance,portrait,1482
11969.jpg,70612e44f5d877d771c1977b9c5589ad,The Calling of St. Peter,Early Renaissance,religious painting,1482
11000.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Pope Fabiano,Early Renaissance,religious painting,1483
1297.jpg,c71bfd3be6e6bad4c537af4c01439123,Madonna and Child,Early Renaissance,religious painting,1483
1770.jpg,78b13bdd9a3201382c52e7efe67b7099,The Story of Nastagio degli Onesti,Early Renaissance,illustration,1483
15931.jpg,78b13bdd9a3201382c52e7efe67b7099,Portrait of a Young Man,Early Renaissance,portrait,1483
18596.jpg,1b75de7e18ba6fa547a7aed27b4fb355,Scythed Chariot,Early Renaissance,sketch and study,1483
13639.jpg,78b13bdd9a3201382c52e7efe67b7099,The Virgin and Child Enthroned,Early Renaissance,religious painting,1484
18919.jpg,7a5b41c727b25762d24cee788163a1d7,Tabernacle of the Madonna delle Tosse: Four Evangelists,Early Renaissance,religious painting,1484
101531.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,The Holy Family,Early Renaissance,religious painting,1485
13246.jpg,deedbecf554a7c809e5e89c6c5b68125,Saint Sebastian,Gothic,religious painting,1485
13809.jpg,70612e44f5d877d771c1977b9c5589ad,"Madonna and Child Enthroned with Four Angels, the Archangels Michael and Raphael, and St. Gusto and St. Zenobius",Early Renaissance,religious painting,1485
16786.jpg,70612e44f5d877d771c1977b9c5589ad,"The Trial by Fire, St. Francis before the Sultan of Egypt",Early Renaissance,religious painting,1485
1065.jpg,70612e44f5d877d771c1977b9c5589ad,Meeting of Augustus and the Sibyl,Early Renaissance,history painting,1485
19541.jpg,deedbecf554a7c809e5e89c6c5b68125,Saint Augustine,Gothic,religious painting,1485
1446.jpg,072592d6fa48c2ef2d5d248c0478e890,"Vanity, central panel from the Triptych of Earthly Vanity and Divine Salvation ",Northern Renaissance,allegorical painting,1485
13702.jpg,70612e44f5d877d771c1977b9c5589ad,Study,Early Renaissance,sketch and study,1486
11675.jpg,072592d6fa48c2ef2d5d248c0478e890,Portinari Triptych (central panel),Northern Renaissance,religious painting,1487
15174.jpg,072592d6fa48c2ef2d5d248c0478e890,Portrait of Benedetto di Tommaso Portinari,Northern Renaissance,portrait,1487
102330.jpg,1b75de7e18ba6fa547a7aed27b4fb355,Design for a Flying Machine,Early Renaissance,sketch and study,1488
13586.jpg,072592d6fa48c2ef2d5d248c0478e890,St. Ursula Shrine: Figures,Northern Renaissance,religious painting,1489
13182.jpg,d8ed2d6f032da7c79eb05c5502005520,Saint George and the dragon,Early Renaissance,religious painting,1490
13930.jpg,072592d6fa48c2ef2d5d248c0478e890,"The Virgin and Child with St. James and St. Dominic Presenting the Donors and their Family, known as the Virgin of Jacques Floreins",Northern Renaissance,religious painting,1490
16994.jpg,78b13bdd9a3201382c52e7efe67b7099,St. Augustine in his cell,Early Renaissance,religious painting,1490
14194.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Vase with Orange ,Early Renaissance,flower painting,1490
11998.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Virgin and Child,Early Renaissance,religious painting,1490
18943.jpg,072592d6fa48c2ef2d5d248c0478e890,"The Resurrection, central panel from the Triptych of the Resurrection",Northern Renaissance,,1490
17022.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Madonna and Child,High Renaissance,religious painting,1490
18131.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Portrait of a Young Man in Red,High Renaissance,portrait,1490
19658.jpg,70612e44f5d877d771c1977b9c5589ad,St. Catherine of Siena and St. Lawrence,Early Renaissance,religious painting,1490
11814.jpg,69f6f4c214746e0b58ebc3038ba05d3a,Portrait of Simonetta Vespucci as Cleopatra,High Renaissance,portrait,1490
102140.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Four Allegories Falsehood (Wisdom),Early Renaissance,allegorical painting,1490
15542.jpg,70612e44f5d877d771c1977b9c5589ad,Portrait of a Girl,Early Renaissance,portrait,1490
13429.jpg,deedbecf554a7c809e5e89c6c5b68125,Pietà of Canon Luis Desplá,Gothic,religious painting,1490
16306.jpg,c38fea973e430fde20b174f588e853d4,The Holy Family,High Renaissance,religious painting,1490
17795.jpg,e655bc106f0f640870bc811cd29e6d8d,Death and the Miser (detail),Northern Renaissance,religious painting,1490
15595.jpg,26f9b721302a00962439d50cc9b5faaf,Glorification of St. Ursula and her Companions,High Renaissance,religious painting,1491
14716.jpg,072592d6fa48c2ef2d5d248c0478e890,Altar triptych from the Lübeck Cathedral (detail),Northern Renaissance,religious painting,1491
16972.jpg,96ba4eca4b5b54553c44fcb73390e18b,"Anne of France, Lady of Beaujeu, Duchess of Bourbon, presented by St. John the Evangelist, right hand wing of a triptych",Northern Renaissance,religious painting,1492
102351.jpg,26f9b721302a00962439d50cc9b5faaf,The Pilgrims Meet Pope Cyriac before the Walls of Rome,High Renaissance,religious painting,1493
101518.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Madonna Enthroned with St. John the Tufer and St. Sebastian (detail),High Renaissance,religious painting,1493
17037.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Madonna and Child with St. Catherine and St. Rosa,High Renaissance,religious painting,1493
17086.jpg,bfc63a7e9fae9f2f4abe26d058c34708,The Baptism of Christ,High Renaissance,religious painting,1493
101646.jpg,78b13bdd9a3201382c52e7efe67b7099,Madonna with Child and Three Angels,Early Renaissance,religious painting,1493
17040.jpg,26f9b721302a00962439d50cc9b5faaf,The Miracle of the Relic of the True Cross on the Rialto Bridge,High Renaissance,religious painting,1494
13602.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Praying for a Cup,High Renaissance,religious painting,1495
17732.jpg,c3e9d9ebe5f2900190bef9342c440bd9,A lobster,Northern Renaissance,animal painting,1495
12572.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Lot's escape ,Northern Renaissance,religious painting,1496
102302.jpg,8bd910f3039f8dc999f5fba94a9b748f,"Sansui chokan, detail",Ink and wash painting,landscape,1496
17672.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Portrait of Elector Frederick the Wise of Saxony,Northern Renaissance,portrait,1496
12587.jpg,c3e9d9ebe5f2900190bef9342c440bd9,The Dresden Altarpiece (central panel),Northern Renaissance,religious painting,1496
15461.jpg,c3e9d9ebe5f2900190bef9342c440bd9,The open Fürlegerin with hair ,Northern Renaissance,portrait,1497
19401.jpg,c3e9d9ebe5f2900190bef9342c440bd9,The Sorrows ,Northern Renaissance,religious painting,1497
19050.jpg,bfc63a7e9fae9f2f4abe26d058c34708,Madonna and Child with saints ,High Renaissance,religious painting,1497
19890.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Pala di Fano (Nativity of Mary),High Renaissance,religious painting,1497
15112.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Pala di Fano (Assumption),High Renaissance,religious painting,1497
13797.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Madonna with Child and Little St. John,High Renaissance,religious painting,1497
17138.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Prudence and Justice with Six Antique Wisemen,High Renaissance,religious painting,1497
13033.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,"Madonna, an Angel and Little St. John Adoring the Child",High Renaissance,religious painting,1497
13468.jpg,85e60fb5d2a65debda52dc3e32f76789,The Virgin and Child with Saint John and Angels (Manchester Madonna),High Renaissance,religious painting,1497
19833.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Sepulcrum Christi,High Renaissance,religious painting,1498
100977.jpg,96ba4eca4b5b54553c44fcb73390e18b,The Bourbon Altarpiece (The Moulins Triptych),Northern Renaissance,religious painting,1498
12094.jpg,96ba4eca4b5b54553c44fcb73390e18b,"Peter II Duke of Bourbon presented by St. Peter, left hand wing of a triptych",Northern Renaissance,religious painting,1498
15887.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Madonna and Child (Haller Madonna),Northern Renaissance,religious painting,1498
101933.jpg,96ba4eca4b5b54553c44fcb73390e18b,Portrait of Suzanne of Bourbon,Northern Renaissance,portrait,1498
18617.jpg,035c74d2bb22742f9ad6a01600036c56,"Francesco Sforza, count of Pavia?",High Renaissance,portrait,1498
