,filename,artist,title,style,genre,date
106,14622.jpg,7a5b41c727b25762d24cee788163a1d7,St. Augustine Reading Rhetoric and Philosophy at the School of Rome (detail),Early Renaissance,religious painting,1465
181,13586.jpg,072592d6fa48c2ef2d5d248c0478e890,St. Ursula Shrine: Figures,Northern Renaissance,religious painting,1489
183,13930.jpg,072592d6fa48c2ef2d5d248c0478e890,"The Virgin and Child with St. James and St. Dominic Presenting the Donors and their Family, known as the Virgin of Jacques Floreins",Northern Renaissance,religious painting,1490
29,17901.jpg,3d0eabaa03d5997194155a847a7a2e30,Prophet Daniel,Byzantine,religious painting,1400
206,13602.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Praying for a Cup,High Renaissance,religious painting,1495
166,15931.jpg,78b13bdd9a3201382c52e7efe67b7099,Portrait of a Young Man,Early Renaissance,portrait,1483
111,19871.jpg,7a5b41c727b25762d24cee788163a1d7,Arrival of St. Augustine in Milan,Early Renaissance,religious painting,1465
85,18643.jpg,84b85ba889501c62da0f05a6cdaeaa7f,Dante Alighieri,Early Renaissance,portrait,1450
200,102351.jpg,26f9b721302a00962439d50cc9b5faaf,The Pilgrims Meet Pope Cyriac before the Walls of Rome,High Renaissance,religious painting,1493
157,10610.jpg,9357ef569a10c52a2ca5d95823cb2f8e,Roman soldiers and Jewish judges (left wing from the Triptych of the Crucifixion),Northern Renaissance,religious painting,1481
107,14858.jpg,7a5b41c727b25762d24cee788163a1d7,The Parable of the Holy Trinity and the Visit to the Monks of Mount Pisano,Early Renaissance,religious painting,1465
154,10118.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Portrait of a Humanist,Early Renaissance,portrait,1480
77,11497.jpg,c825d3adbd3acc20ef010f8d0f0a04b9,Madonna,Northern Renaissance,religious painting,1445
197,15595.jpg,26f9b721302a00962439d50cc9b5faaf,Glorification of St. Ursula and her Companions,High Renaissance,religious painting,1491
269,18015.jpg,c38fea973e430fde20b174f588e853d4,The Crucifixion,High Renaissance,religious painting,1505
275,100782.jpg,69f6f4c214746e0b58ebc3038ba05d3a,The Forest Fire,High Renaissance,animal painting,1505
308,15807.jpg,85e60fb5d2a65debda52dc3e32f76789,Sistine Chapel Ceiling: Cumaean Sibyl,High Renaissance,mythological painting,1510
488,19538.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Portrait of a gentleman,Mannerism (Late Renaissance),portrait,1552
396,102312.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,St. Mark,Mannerism (Late Renaissance),religious painting,1525
315,12090.jpg,7e7b4392f5776bb7c65a603155727f59,St. Jerome,Northern Renaissance,religious painting,1511
371,19924.jpg,9357ef569a10c52a2ca5d95823cb2f8e,Madonna with the Milk Soup,Northern Renaissance,religious painting,1520
373,14973.jpg,ef48d7b66a5aa46adac225da61c304e2,St. Jerome in Rocky Landscape,Northern Renaissance,landscape,1520
550,101930.jpg,d0ac9bd7e988f6c0e0a6f5fa94ef2850,The Purification of the Temple,Mannerism (Late Renaissance),,1580
375,18328.jpg,ef48d7b66a5aa46adac225da61c304e2,Landscape with the destruction of Sodom and Gomorrah,Northern Renaissance,landscape,1520
323,10318.jpg,ad8cc0e8386fb460ac34a62244dffc26,Episode from the life in the hospital,Mannerism (Late Renaissance),genre painting,1514
490,18600.jpg,a7b6670e2d23f415998849a8fdedae18,St Jerome and St Andrew,Mannerism (Late Renaissance),religious painting,1552
510,10011.jpg,ede635e53e1b4a905bbea74de30371cf,Madonna and Child with Mary Magdalene,Mannerism (Late Renaissance),religious painting,1560
321,101995.jpg,1b75de7e18ba6fa547a7aed27b4fb355,"Portrait of a Bearded Man, possibly a Self Portrait",High Renaissance,self-portrait,1513
358,11605.jpg,dbde47600bea8b19be79a59a43dd88a8,The Rest on the Flight to Egypt with Saint Francis,High Renaissance,religious painting,1517
433,102768.jpg,bb1636df1fa63b028b1ee8fe60f2da9e,Saint Nicholas of Tolentino Reviving a Child,Mannerism (Late Renaissance),religious painting,1530
546,103054.jpg,dd64f4b87e7e6a5549ffb72f7bca746c,"St. Catherine, from the episode ""Holy Women""",Baroque,religious painting,1578
454,14721.jpg,b3f06d944fdf7d1bb8d855eaa6b85496,Design for a Pendant,Northern Renaissance,design,1535
340,12133.jpg,9f0984ce62483f294fc666d74e0974f6,Wings of a Triptych,Northern Renaissance,portrait,1515
420,103143.jpg,2a45bacf1ca9500ee789d3be7c79d4b2,Madonna with Saint Zacharias,Mannerism (Late Renaissance),religious painting,1530
355,102209.jpg,b3f06d944fdf7d1bb8d855eaa6b85496,Adam and Eve,Northern Renaissance,religious painting,1517
291,101076.jpg,57a4723720fe446196e259123f11f8b1,Heller Altarpiece (detail),Northern Renaissance,portrait,1509
543,18536.jpg,ede635e53e1b4a905bbea74de30371cf,Pieta,Mannerism (Late Renaissance),religious painting,1576
477,15623.jpg,d0ac9bd7e988f6c0e0a6f5fa94ef2850,The Miraculous Draught of Fishes,Mannerism (Late Renaissance),religious painting,1545
395,15291.jpg,e09e56c7cb603d8c933bc237aaf4bdcb,Sibyl,High Renaissance,mythological painting,1525
504,12192.jpg,b15d8d493527dccb0b3e02b1ef65258d,Children's Games,Northern Renaissance,genre painting,1560
465,15187.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Altarpiece,Mannerism (Late Renaissance),religious painting,1540
445,15436.jpg,a087f33967e659c63924aa07c89b948f,Lucretia,Northern Renaissance,portrait,1533
470,102350.jpg,ede635e53e1b4a905bbea74de30371cf,Christ Crowned with Thorns,Mannerism (Late Renaissance),religious painting,1542
575,14493.jpg,b2a43738fde0a20062a0900417351a9f,Poet Ercilla y Zuniga by El Greco,Mannerism (Late Renaissance),portrait,1595
273,12510.jpg,78b13bdd9a3201382c52e7efe67b7099,Baptism of St Zenobius and His Appointment as Bishop,Early Renaissance,religious painting,1505
529,11869.jpg,71c4b71a3e90c57f17337b31d44c1eac,Self Portrait,Mannerism (Late Renaissance),portrait,1568
467,17438.jpg,85e60fb5d2a65debda52dc3e32f76789,Portrait of Vittoria Colonna,High Renaissance,sketch and study,1540
421,19262.jpg,85e60fb5d2a65debda52dc3e32f76789,Archers shooting at a herm,High Renaissance,genre painting,1530
486,101793.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Portrait of Francesco I de' Medici ,Mannerism (Late Renaissance),portrait,1551
501,19962.jpg,ede635e53e1b4a905bbea74de30371cf,Girl with a Basket of Fruits (Lavinia),Mannerism (Late Renaissance),portrait,1558
461,100033.jpg,a087f33967e659c63924aa07c89b948f,Fall of Man,Northern Renaissance,religious painting,1537
402,100232.jpg,a087f33967e659c63924aa07c89b948f,David and Bathsheba,Northern Renaissance,religious painting,1526
256,1087.jpg,accb302082074fa3b73308a2e42f1fd4,Portrait of a young man in red garment,High Renaissance,portrait,1503
515,17908.jpg,e8eae9a2f53456f01d601ae153f76a2d,End wall of the Stanza del Cane,Mannerism (Late Renaissance),religious painting,1561
328,15357.jpg,02b866899dc71a00364337e830d075d7,Ceiling,High Renaissance,quadratura,1514
582,18885.jpg,2d1d5059ec661daaa7b0e921e708c7b8,Narcissus,Baroque,portrait,1599
536,101779.jpg,71c4b71a3e90c57f17337b31d44c1eac,The Garden of Gethsemane,Mannerism (Late Renaissance),religious painting,1570
286,13401.jpg,26f9b721302a00962439d50cc9b5faaf,St. George Killing the Dragon,High Renaissance,religious painting,1507
446,19919.jpg,b3f06d944fdf7d1bb8d855eaa6b85496,The Ambassadors,Northern Renaissance,portrait,1533
388,102678.jpg,57a4723720fe446196e259123f11f8b1,The Crucifixion,Northern Renaissance,religious painting,1524
258,18807.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Drummers and pipers,Northern Renaissance,genre painting,1504
439,1932.jpg,71c4b71a3e90c57f17337b31d44c1eac,Entombment,Mannerism (Late Renaissance),religious painting,1532
313,13826.jpg,ede635e53e1b4a905bbea74de30371cf,The Vicious Husband,High Renaissance,genre painting,1511
562,13239.jpg,f258cbc24958b6fd973e711ca4f19354,Saint Catherine of Alexandria (presumed self-portrait),Mannerism (Late Renaissance),self-portrait,1589
881,12590.jpg,397c63db1c7b507d23abff3f8bb0fa18,Self-portrait,Baroque,self-portrait,1669
768,1535.jpg,2de183deab2a0772fd2b478f56d7c3e1,Woman Pouring Water into a Jar,Baroque,genre painting,1640
912,16783.jpg,c2b95f8d08729893ae8ef8f5e88e12bc,Portrait of Maria Anna of Neuburg,Baroque,portrait,1694
784,101428.jpg,dd4a0a26ac3e5f05c4287604bb34694c,Le crucifiement de Saint Pierre,Baroque,religious painting,1643
906,13154.jpg,c2b95f8d08729893ae8ef8f5e88e12bc,Decorative Ceiling (Palazzo Medici Riccardi) ,Baroque,allegorical painting,1686
688,17373.jpg,93c69b3a9a93f0050802101d0a8605b6,The Immaculate,Baroque,religious painting,1630
732,13050.jpg,397c63db1c7b507d23abff3f8bb0fa18,The Stoning Of St. Stephen,Baroque,religious painting,1635
683,12923.jpg,99cb087e8ace2daa73c268d8aa80f02b,Portrait of Maria Lugia de Tassis,Baroque,portrait,1629
745,15491.jpg,dc589f213ba7bd398714ac2796b7c0ab,Fall of Phaeton,Baroque,mythological painting,1636
803,11001.jpg,397c63db1c7b507d23abff3f8bb0fa18,Nude man seated before a curtain,Baroque,nude painting (nu),1646
798,100249.jpg,452561351a1599b602e7aded3afeff6a,Portrait of a Standing Man,Baroque,portrait,1645
778,10216.jpg,397c63db1c7b507d23abff3f8bb0fa18,Student at a table by candlelight,Baroque,genre painting,1642
855,15018.jpg,549f47b9a8d2d45ff0b3863c8e6281fd,Harpsichord Lesson,Baroque,genre painting,1660
742,12001.jpg,5d39b5c98c474831fe297910313c1a36,The Smokers,Baroque,genre painting,1636
868,14449.jpg,2de183deab2a0772fd2b478f56d7c3e1,Weighing Gold,Baroque,genre painting,1664
816,16909.jpg,397c63db1c7b507d23abff3f8bb0fa18,Landscape with a Canal and Large Boat,Baroque,landscape,1650
819,14195.jpg,96ea00928e83b362a190d624a3c357ca,The Dice Players,Tenebrism,genre painting,1651
793,12303.jpg,397c63db1c7b507d23abff3f8bb0fa18,Bridge,Baroque,landscape,1645
807,10525.jpg,397c63db1c7b507d23abff3f8bb0fa18,Ephraim Bonus (The Jew with the Banister),Baroque,portrait,1647
584,13509.jpg,df97efdcbefba87d3aad1aaa3f413ceb,Portrait of Giovanni Gabrieli with the lute,Baroque,portrait,1600
765,102197.jpg,4209a8a27848056b88e2a15223a54fa3,"Still Life with Crab, Shrimps and Lobster",Baroque,still life,1640
890,100025.jpg,6b370366b735de386b7a0a3f3192bb70,Trompe l'oeil. A Cabinet in the Artist's Studio,Baroque,still life,1671
882,101585.jpg,bc05d13501bcf1fbca160ee8c3dec5cc,Trees,Baroque,landscape,1669
843,19660.jpg,b99bdc5799aed36e6ce0c2dad3a6052d,Time Reveals the Truth,Baroque,allegorical painting,1657
760,11813.jpg,f46cda5e090ba0435bee28286a2d747c,Sarah Leading Hagar to Abraham,Tenebrism,religious painting,1639
873,18080.jpg,397c63db1c7b507d23abff3f8bb0fa18,Self-portrait,Baroque,self-portrait,1665
904,18081.jpg,c2b95f8d08729893ae8ef8f5e88e12bc,The Parable of the Prodigal Son. The Penitent Swineherd,Baroque,allegorical painting,1685
813,16543.jpg,b6095eab35b7f0abfbe5687ed8329293,Portrait of Cardinal Camillo Astali Pamphili,Baroque,portrait,1650
703,17179.jpg,99cb087e8ace2daa73c268d8aa80f02b,The Rest on the Flight to Egypt,Baroque,religious painting,1630
662,11177.jpg,3524ecd495d905ffbe4f424717d747a1,Apollo and Daphne,Classicism,mythological painting,1625
677,18269.jpg,b6095eab35b7f0abfbe5687ed8329293,Triumph of Bacchus,Baroque,mythological painting,1628
595,13311.jpg,2d1d5059ec661daaa7b0e921e708c7b8,Burial of Saint Lucy,Baroque,religious painting,1608
874,18789.jpg,0c7eaecdec27857c7a62125561cd32d0,Mass of St John of Mathaa,Baroque,religious painting,1666
698,100642.jpg,75b01d49b558b091529d9455bc5acf39,Cook With Food,Baroque,genre painting,1630
799,17726.jpg,397c63db1c7b507d23abff3f8bb0fa18,Joseph's Dream in the Stable in Bethlehem,Baroque,religious painting,1645
896,13691.jpg,c2b95f8d08729893ae8ef8f5e88e12bc,The Defeat of Sisera ,Baroque,religious painting,1680
826,102534.jpg,7aed4909f6766c98947acdab620b6db5,Kermess,Baroque,genre painting,1652
733,12107.jpg,3f93b217bd0dbf874f973958f1eb6df4,Inn Scene,Baroque,genre painting,1635
602,100792.jpg,c8357444772cc3e29272b9786dc2fe7a,Still Life with Artichokes,Baroque,still life,1610
892,12662.jpg,c2b95f8d08729893ae8ef8f5e88e12bc,The Holy Family ,Baroque,religious painting,1675
621,19971.jpg,dc589f213ba7bd398714ac2796b7c0ab,Achilles and the Daughters of Lykomedes,Baroque,mythological painting,1617
802,10.jpg,8f59e3f70611b198f0536f60187cb64b,The Supper at Emmaus,Baroque,religious painting,1645
674,1464.jpg,452561351a1599b602e7aded3afeff6a,Banquet of the Officers of the St. George Civic Guard Company (detail),Baroque,portrait,1627
727,11163.jpg,8f59e3f70611b198f0536f60187cb64b,Portrait of Johan Wierts,Baroque,portrait,1635
824,11160.jpg,452561351a1599b602e7aded3afeff6a,Isabella Coymans,Baroque,portrait,1652
883,17874.jpg,05a3d2b6995d83ffd6fde79e29139238,Nativity of Jesus,Baroque,religious painting,1669
788,11174.jpg,776378f8b5806159933438cf094c5435,Birth of the Virgin,Baroque,religious painting,1645
656,12240.jpg,dc589f213ba7bd398714ac2796b7c0ab,"The Landing at Marseilles, 3rd November 1600",Baroque,history painting,1625
629,12005.jpg,6e995a98857a349071182cf6c713e35f,Party in the Garden,Baroque,genre painting,1619
644,19091.jpg,93c69b3a9a93f0050802101d0a8605b6,St. Sebastian Tended by the Holy Women,Tenebrism,religious painting,1621
967,15848.jpg,86a9f9dbebdb2495b291954abe9ce9aa,The tea drinker,Rococo,genre painting,1735
1032,10726.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,"The Roman antiquities, t. 1, Plate VIII. Aurelian Walls.",Neoclassicism,cityscape,1756
1206,17390.jpg,e60882af79cababb03ddfa980a75448c,Picador Caught by the Bull,Romanticism,genre painting,1793
995,1606.jpg,f72f31224ccfa5ec42755d755eb374a5,Apollo and Daphne,Rococo,mythological painting,1744
1171,11500.jpg,e60882af79cababb03ddfa980a75448c,Sketch for The Death of Saint Joseph,Romanticism,religious painting,1787
1191,19503.jpg,aa19b797266317f1eee59b9e11cc6b3b,The four virtues,Ukiyo-e,genre painting,1790
1187,101230.jpg,88150a522b91fd047fc63600fe75ac26,William Augustus Bowles ,Baroque,portrait,1790
1072,10641.jpg,6ba893bd5db86c7036eaec7570fd4451,Portrait of Count G.G.Orlov,Rococo,portrait,1763
982,100901.jpg,86a9f9dbebdb2495b291954abe9ce9aa,Girl with Racket and Shuttlecock,Rococo,genre painting,1740
1182,101239.jpg,e2d6525093a98f104dc294a21c8b2274,Earl's portrait of Elijah Boardman,Rococo,portrait,1789
974,103037.jpg,4efe284a888c4bd2e3f030be256251ee,Entrance to the Grand Canal: from the West End of the Molo,Baroque,veduta,1737
918,16337.jpg,a4492e7c5e98a8cce572867eda5c480f,"Aurora, Roman Goddess of the Dawn, Bids Goodbye to Her Lover Tithonus. Aurora is about to Illuminate the Darkness of Night",Baroque,mythological painting,1704
989,1786.jpg,907642811d82d1a8bd61417b5683e48d,The Concert,Rococo,genre painting,1741
999,101613.jpg,450fc8bc8b9924db9bd48172f6498d3b,Visit with the Quack Doctor,Rococo,genre painting,1745
938,13328.jpg,baa74b3d60b342e4c42f6261e886a715,The Shepherds,Rococo,pastorale,1717
1130,18257.jpg,d431279c01a51fe5d9b1376a2b733485,Portrait of Alexei Orlov,Rococo,portrait,1779
1193,102665.jpg,e45d15fb0b64d7230ef48365fc992ced,Valentin Platonovich Musin Pushkin,Rococo,portrait,1790
1086,102563.jpg,5f5b31e07a9f529fab95992e6ef63c47,Know Thy Self,Neoclassicism,allegorical painting,1768
924,14150.jpg,e5ff34fd17269062c990b15bc47c280a,Flowery branch,Ink and wash painting,flower painting,1707
1183,15413.jpg,bb69c7f93d60a05dca5ce66222f52e98,William Linley  ,Romanticism,,1789
1020,18135.jpg,f72f31224ccfa5ec42755d755eb374a5,Europa,Rococo,mythological painting,1753
1001,14470.jpg,50900e56a7480824436d7ad7f83fcc2b,"Clotworthy Skeffington, Later 1st Earl of Massereene",Rococo,portrait,1746
1104,10902.jpg,4ba48c65db9c25bb7cac995431a495c5,John Hancock ,Rococo,portrait,1774
1190,16583.jpg,db127035f4b1efe75117e0f6fec55354,Portrait of a lady,Romanticism,portrait,1790
1170,100692.jpg,2f68ecc70bbc7f82c679905e1ed3c467,Mrs. John O'Donnell (Sarah Chew Elliott) ,Rococo,portrait,1787
917,15513.jpg,c8674132ed594f31e9312b6a26629cb2,Mynah Bird on an Old Tree,Ink and wash painting,animal painting,1703
1006,100784.jpg,f806ea51bb0936ea93eab15daecd6683,The Lottery at Palazzo Montecitorio,Baroque,veduta,1747
1102,15477.jpg,50900e56a7480824436d7ad7f83fcc2b,Self-Portrait,Baroque,self-portrait,1773
1111,19276.jpg,5f5b31e07a9f529fab95992e6ef63c47,Portrait Of Raphael West And Benjamin West Jr.,Rococo,portrait,1775
988,1884.jpg,9aedafc30e2a675b8d761b0b313e2376,Head of a Woman from Behind  ,Rococo,portrait,1740
980,10930.jpg,d2deddf1799393c1247b4ef5967fc11d,Portrait of Agnes Murray Kynnynmond,Rococo,portrait,1739
950,11833.jpg,86a9f9dbebdb2495b291954abe9ce9aa,A Game of Billiards,Rococo,genre painting,1725
1167,18724.jpg,b59f3b556ce036d42a93dea4c3f1ba48,Study for The Siege of Gibraltar,Neoclassicism,sketch and study,1786
1175,18495.jpg,db127035f4b1efe75117e0f6fec55354,"Portrait of Harriet, Viscountess Duncannon with Her Sons",Romanticism,portrait,1787
1207,1478.jpg,aa19b797266317f1eee59b9e11cc6b3b,Three Beauties of the Present Day,Ukiyo-e,portrait,1793
1014,101150.jpg,450fc8bc8b9924db9bd48172f6498d3b,Gin Lane,Rococo,genre painting,1751
1082,12360.jpg,50900e56a7480824436d7ad7f83fcc2b,Lady Charles Spencer,Rococo,portrait,1766
1148,102758.jpg,f13d6d62e04fa64add6b68c875803d89,Architectural Landscape with a Canal,Rococo,capriccio,1783
921,16698.jpg,c86e2cbf112eac5eadfa464e65d676bf,"Metamorphosis insectorum Surinamensium (Metamorphosis of the Insects of Suriname), figure 46",Naturalism,animal painting,1705
940,16251.jpg,f72f31224ccfa5ec42755d755eb374a5,Nude study in an academy,Rococo,sketch and study,1720
1073,19204.jpg,69f42fe50ebe0a46b3428b6ca22c1453,"John Spencer, 1st Earl Spencer",Rococo,portrait,1763
939,15124.jpg,f5802c2e497d9d3f3236ab6748ef7e1f,Portrait of Tsar Peter I,Rococo,portrait,1717
1096,1705.jpg,bfba1a98d6b605f1a435f331b435ac69,"Reverend Charles Wesley (1707–1788), MA",Rococo,portrait,1771
1068,100392.jpg,ac866f3fdf0e03a53b5c29f97ab1ac8c,The Broken Mirror,Rococo,genre painting,1763
1103,14778.jpg,b59f3b556ce036d42a93dea4c3f1ba48, Mrs. John Winthrop (Hannah Fayerweather),Neoclassicism,portrait,1773
1210,15606.jpg,dd1e99aa9c15008b8656242701a30801,Homer Reciting his Verses to the Greeks,Neoclassicism,mythological painting,1794
1173,11558.jpg,b31c8ec49c09506f17ec3c0c04fce567,"Charles Jenkinson (1727–1808), 1st Lord Hawkesbury (1780), afterwards Created 1st Earl of Liverpool (1796) ",Rococo,portrait,1787
1011,11592.jpg,612edcdb31a0860c982b1833fc1e6d17,The Old Market Square in Dresden,Rococo,cityscape,1750
1215,11900.jpg,8d100ac8bbcb7f9151cc06b17cfe746a,Matthew Clarkson ,Rococo,portrait,1794
976,13228.jpg,612edcdb31a0860c982b1833fc1e6d17,View of the Grand Canal at San Stae,Rococo,cityscape,1738
1607,1955.jpg,605d22132f5e157ce5bc7bf91d6f8a1a,The Comtesse of Valmont,Realism,portrait,1841
2066,18390.jpg,76cd369cddf78f33b853fa53077ac113,Sorrento,Romanticism,landscape,1869
1612,101223.jpg,059d590e174c545474f0fedcc126ce4c,Falls of Schaffhausen ,Romanticism,landscape,1842
3655,12911.jpg,b5ed934db592c7dbcb69942e74bd245d,Shakuntala ,Academicism,mythological painting,1898
3585,101886.jpg,88c7fbeac9e9ae6930e3aaef8055b731,Kouka,Ukiyo-e,bijinga,1897
2469,101178.jpg,54e7b38b5c91716bd3ad99a0ab740a18,By the Thames at Richmond,Realism,genre painting,1879
2007,1237.jpg,76561d2b7226d9e2e962a8a01e95436f,The Evening Hunter,Romanticism,landscape,1867
3436,11584.jpg,3edc6a404b8c67b7dad1405d52228c96,The Harvest,Divisionism,genre painting,1895
1867,13170.jpg,13fb1d497e1759ed5311c5222fb02685,Carnival in Rome,Romanticism,genre painting,1860
3188,19829.jpg,c8041306a183cbaf39ff8cd707c9cc7f,Fra Lofoten,,landscape,1891
2551,19191.jpg,16548363e96f1c64ca498fd00352df9a,Beata Beatrix,Romanticism,literary painting,1880
2809,16244.jpg,6f80666437feea42f295cdc0f1eb4df9,Beach Scene,Impressionism,genre painting,1885
3568,103004.jpg,479807bac5f3f944e7209e5d99e0dc48,July Afternoon,Impressionism,landscape,1897
3091,100702.jpg,01817fee724e0c55ff3013b9d5da3e1c,Breton women scutching flax: Labour,Cloisonnism,genre painting,1889
2314,17250.jpg,e22b8239a9abc7940231ea66b969c6b9,Himalayas. The main peak,Realism,landscape,1875
2562,11312.jpg,129349585c3d1f312535b6619fc36bf7,Children playing in the Workshop,Realism,genre painting,1880
3671,101727.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,Austria,Art Nouveau (Modern),allegorical painting,1899
3594,13442.jpg,234c8d1df0b49b512791078cf00cf352,"The English Coast, Penarth",Impressionism,landscape,1897
2554,10997.jpg,aceaa52f487dd19129857232b2eeb3d5,Zinnias in a Vase,Realism,flower painting,1880
1359,100843.jpg,358474690052f63f9107c823b7a61686,Portrait-caricature of Giacomo Quarenghi,Romanticism,caricature,1814
2575,15970.jpg,147b0f64f4c2848bc0ad7bc1cdf74afe,The River Vorya at Abramtsevo,Impressionism,landscape,1880
2014,17484.jpg,16548363e96f1c64ca498fd00352df9a,Venus Verticordia,Romanticism,mythological painting,1868
3302,1659.jpg,50591a7061fb340d875723f38e00cc3b,Figures in Sunlight,Impressionism,genre painting,1893
3456,14684.jpg,51b72626792ce4fabab05000bac62e7d,The Truth at the bottom of a Well,Romanticism,allegorical painting,1895
3579,103248.jpg,9517cab1f0dee5013c558c52b07b04ff,Auf Leben und Tod (Edelhirsche in der Brunft),Naturalism,animal painting,1897
1632,13109.jpg,5c7b4a8cc494e77dae9af6637e0d3ba7,Horace and Lydia,Academicism,literary painting,1843
3334,11933.jpg,baa3e6fec49e7eba24e23a8685c22955,My mother,Art Nouveau (Modern),portrait,1893
3179,13301.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Grainstacks, White Frost Effect",Impressionism,landscape,1891
2627,13917.jpg,c016fd5caf84a9f835936074e83f7632,Dance Amongst Daggers,Academicism,genre painting,1881
